pair_id,smiles,formula,charge,n_atoms,id_a,id_b,energy_a_eV,energy_b_eV,deltaE_eV,rmsd_angstrom,xyz_file
pair_046,O=C1C[C@]1(O)CO,C4H6O3,0,13,0,1,-47.002583,-46.986401,0.016182,0.4085,xyz/pair_046.xyz
pair_047,C=C1OC(=O)[C@@H](O)O1,C4H4O4,0,12,0,1,-47.612503,-47.613976,-0.001473,0.3840,xyz/pair_047.xyz
pair_048,O=C[C@H]1C=C(O)CO1,C5H6O3,0,14,2,3,-52.365063,-52.394611,-0.029548,0.4073,xyz/pair_048.xyz
pair_049,CC1=CO[C@H](O)O1,C4H6O3,0,13,0,1,-48.075451,-48.030128,0.045323,0.3181,xyz/pair_049.xyz
pair_050,O/C=C/C1=C(O)[C@H]1O,C5H6O3,0,14,1,0,-51.347561,-51.315960,0.031601,0.3947,xyz/pair_050.xyz
pair_051,CO/C=C/C(=O)O,C4H6O3,0,13,2,0,-48.301952,-48.187969,0.113983,0.4344,xyz/pair_051.xyz
pair_052,O=C(O)/C=C\C=C/O,C5H6O3,0,14,0,4,-52.860153,-52.941635,-0.081482,0.4134,xyz/pair_052.xyz
pair_053,O=C/C(O)=C\C(=O)O,C4H4O4,0,12,8,1,-47.798721,-47.908974,-0.110253,0.4405,xyz/pair_053.xyz
pair_054,O[C@@H]1OCOC[C@@H]1O,C4H8O4,0,16,5,4,-54.531494,-54.533833,-0.002339,0.4426,xyz/pair_054.xyz
pair_055,C=C(O)/C=C\O,C4H6O2,0,12,3,0,-44.522686,-44.512306,0.010380,0.4446,xyz/pair_055.xyz
pair_056,O=C/C=C1C=C\1O,C5H4O2,0,11,2,1,-44.459259,-44.450024,0.009235,0.4329,xyz/pair_056.xyz
pair_057,C=C/C(C)=C/O,C5H8O,0,14,2,1,-49.916664,-49.878475,0.038189,0.4060,xyz/pair_057.xyz
pair_058,O=CC=C=C(O)CO,C5H6O3,0,14,6,7,-51.731083,-51.735256,-0.004173,0.4114,xyz/pair_058.xyz
pair_059,C[C@]1(O)C[C@H]1O,C4H8O2,0,14,0,1,-48.165215,-48.203300,-0.038085,0.4350,xyz/pair_059.xyz
pair_060,C=COC(=O)/C=C/O,C5H6O3,0,14,1,2,-52.522606,-52.491562,0.031044,0.4102,xyz/pair_060.xyz
pair_061,O[C@H]1CO[C@@H](O)C1,C4H8O3,0,15,2,1,-51.804958,-51.805988,-0.001030,0.3537,xyz/pair_061.xyz
pair_062,O[C@@H]1C=C[C@@H]1O,C4H6O2,0,12,0,2,-44.043034,-44.023483,0.019551,0.3264,xyz/pair_062.xyz
pair_063,O=COC1CC1,C4H6O2,0,12,5,3,-44.658623,-44.654133,0.004490,0.2150,xyz/pair_063.xyz
pair_064,O=CO[C@H]1C[C@@H]1O,C4H6O3,0,13,3,0,-47.681194,-47.705589,-0.024395,0.4045,xyz/pair_064.xyz
pair_065,CC1(O)OCCO1,C4H8O3,0,15,0,1,-51.909725,-51.916130,-0.006405,0.4476,xyz/pair_065.xyz
pair_066,O=C(O)C/C=C/O,C4H6O3,0,13,0,1,-48.316479,-48.296101,0.020378,0.4227,xyz/pair_066.xyz
pair_067,C=C(O)OCO,C3H6O3,0,12,6,5,-42.949444,-42.947712,0.001732,0.3980,xyz/pair_067.xyz
pair_068,COC=O,C2H4O2,0,8,3,0,-29.759962,-29.777914,-0.017952,0.2065,xyz/pair_068.xyz
pair_069,C=C1C(=O)O/C1=C\O,C5H4O3,0,12,0,1,-48.542118,-48.450893,0.091225,0.4461,xyz/pair_069.xyz
pair_070,O=C/C(O)=C\C=C\O,C5H6O3,0,14,3,4,-52.384884,-52.364586,0.020298,0.4159,xyz/pair_070.xyz
pair_071,CO/C(C=O)=C(\C)O,C5H8O3,0,16,0,1,-55.629620,-55.638779,-0.009159,0.4483,xyz/pair_071.xyz
pair_072,CC(=O)[C@]1(O)CO1,C4H6O3,0,13,0,2,-47.783844,-47.790398,-0.006554,0.2438,xyz/pair_072.xyz
pair_073,CC(=C=C(O)O)C=O,C5H6O3,0,14,1,0,-51.899391,-51.909821,-0.010430,0.4454,xyz/pair_073.xyz
pair_074,O/C=C\O,C2H4O2,0,8,0,1,-29.126776,-29.118763,0.008013,0.2567,xyz/pair_074.xyz
pair_075,C=C/C(O)=C(/O)OC,C5H8O3,0,16,0,1,-55.351414,-55.275345,0.076069,0.4271,xyz/pair_075.xyz
pair_076,C[C@@H](O)/C(O)=C/O,C4H8O3,0,15,3,1,-51.556942,-51.566566,-0.009624,0.4064,xyz/pair_076.xyz
pair_077,OCCCCO,C4H10O2,0,16,1,3,-52.194141,-52.191345,0.002796,0.3672,xyz/pair_077.xyz
pair_078,C[C@@H](O)/C(O)=C\O,C4H8O3,0,15,1,2,-51.377304,-51.382568,-0.005264,0.3968,xyz/pair_078.xyz
pair_079,O=C(O)C1(O)CC1,C4H6O3,0,13,3,2,-48.164116,-48.163979,0.000137,0.4457,xyz/pair_079.xyz
pair_080,O=C/C=C\C=O,C4H4O2,0,10,2,0,-40.370693,-40.360336,0.010357,0.3243,xyz/pair_080.xyz
pair_081,C[C@H]1OC(=O)[C@@H]1O,C4H6O3,0,13,0,1,-48.153107,-48.117142,0.035965,0.4061,xyz/pair_081.xyz
pair_082,C[C@@H](O)OC=C=O,C4H6O3,0,13,4,2,-47.426960,-47.416290,0.010670,0.3995,xyz/pair_082.xyz
pair_083,O[C@H]1C[C@H](O)OCO1,C4H8O4,0,16,2,1,-54.641842,-54.673260,-0.031418,0.3687,xyz/pair_083.xyz
pair_084,O=C1O[C@@H]1CO,C3H4O3,0,10,2,0,-38.367741,-38.349487,0.018254,0.4297,xyz/pair_084.xyz
pair_085,C=COC=C,C4H6O,0,11,3,0,-40.689137,-40.731907,-0.042770,0.4303,xyz/pair_085.xyz
pair_086,O=C1C=C[C@H]1C(O)O,C5H6O3,0,14,3,2,-52.121025,-52.108578,0.012447,0.4437,xyz/pair_086.xyz
